愛,あい,憎,ぞう
減水,げんすい,増水,ぞうすい
減税,げんぜい,増税,ぞうぜい
原則,げんそく,例外,れいがい
減退,げんたい,増進,ぞうしん
減反,げんたん,増反,ぞうたん
現代,げんだい,古代,こだい
原版,げんばん,翻刻,ほんこく
減配,げんぱい,増配,ぞうはい
原文,げんぶん,訳文,やくぶん
減俸,げんぽう,増俸,ぞうほう
原本,げんぽん,訳本,やくほん
玄米,げんまい,白米,はくまい
減量,げんりょう,増量,ぞうりょう
個,こ,全,ぜん
劫,こう,刹那,せつな
高圧,こうあつ,低圧,ていあつ
高位,こうい,低位,ていい
幸運･好運,こううん,不運･非運･否運,ふうん･ひうん
後衛,こうえい,前衛,ぜんえい
公営･国営,こうえい･こくえい,私営･民営,しえい･みんえい
公益,こうえき,私益,しえき
高遠,こうえん,卑近,ひきん
高温,こうおん,低温,ていおん
高音,こうおん,低音,ていおん
